Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare,Farm_Area(acres),Fertilizer_Used(tons),Pesticide_Used(kg),Water_Usage(cubic meters)
South,Sandy,Cotton,200.69377968965853,17.781613666947496,Sunny,136,1.4275876041488362,122.805,2.1,2.18,53381.215
South,Loam,Cotton,109.7735069145569,22.004892773033937,Cloudy,97,1.3527146204685507,387.78,6.245,2.84,57761.24
South,Silt,Rice,231.4729656724213,24.99534905433467,Cloudy,104,1.9575203687970872,464.6,5.18,0.91,9392.38
West,Silt,Wheat,192.8544825860612,28.033882772749514,Cloudy,77,0.6872782857949831,288.52,1.79,4.78,23208.04
West,Clay,Wheat,385.266218330641,24.79746277176359,Sunny,141,2.187111170777813,210.88500000000002,6.105,2.235,44398.345
North,Clay,Cotton,217.28588857385216,37.28313144340631,Sunny,91,1.700104730691692,324.21,5.47,2.86,49551.67333333334
North,Loam,Soybean,355.45140783079387,21.56256815420529,Rainy,99,2.3447902580353377,156.1,1.18,4.43,73646.55
South,Sandy,Cotton,172.8830519348108,27.60917238440017,Sunny,86,1.045897170178178,122.805,2.1,2.18,53381.215
South,Loam,Cotton,289.5001507911657,31.534926966413085,Rainy,107,1.688132729515876,387.78,6.245,2.84,57761.24
East,Loam,Cotton,253.79962342443437,31.24044021496391,Rainy,126,2.134245049077963,387.78,6.245,2.84,57761.24
East,Sandy,Cotton,189.07625082003187,19.07736134131869,Rainy,60,1.3819581482636636,122.805,2.1,2.18,53381.215
South,Sandy,Soybean,228.0681876190624,17.321336986012593,Sunny,144,1.6597709375189478,209.51666666666665,2.8833333333333333,2.5233333333333334,57373.37333333333
North,Loam,Barley,139.09084550722912,28.77946363352254,Rainy,67,0.8580750990078738,446.76,7.79,0.96,93656.06
North,Silt,Rice,311.4173890504951,15.010430168647336,Rainy,109,1.898626302255888,464.6,5.18,0.91,9392.38
South,Sandy,Rice,131.2041495325955,29.20077603957528,Cloudy,109,2.0320275766857896,308.40500000000003,4.595,4.220000000000001,78580.925
West,Silt,Soybean,172.22380137400867,16.820264799569973,Sunny,138,0.9736499869071464,266.03,8.57,1.35,43610.21
South,Peaty,Maize,282.7476430013046,26.04114984307829,Rainy,143,1.978122695897619,389.37,0.57,4.93,60202.14
East,Loam,Cotton,252.9045561442209,17.16207570064366,Sunny,124,2.1725780390799105,387.78,6.245,2.84,57761.24
West,Sandy,Soybean,499.0347884094341,28.600226534493626,Sunny,98,1.7785068679935043,209.51666666666665,2.8833333333333333,2.5233333333333334,57373.37333333333
North,Clay,Rice,115.574757903101,31.58130486687412,Sunny,90,0.7814218556831465,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
East,Silt,Barley,307.63310862097603,36.641210758575525,Rainy,84,2.322551443744333,253.43,6.2,3.375,39956.880000000005
East,Sandy,Rice,126.33679433690392,20.38831377793165,Sunny,141,0.9448201830641272,308.40500000000003,4.595,4.220000000000001,78580.925
South,Clay,Cotton,212.45172534614085,34.02810526830978,Cloudy,82,1.867986889688309,324.21,5.47,2.86,49551.67333333334
West,Loam,Barley,216.97952410066452,15.168971823167444,Rainy,115,2.199576720738148,446.76,7.79,0.96,93656.06
South,Silt,Barley,461.9339782023544,23.93586387388526,Cloudy,128,1.9188194096771076,253.43,6.2,3.375,39956.880000000005
North,Sandy,Barley,139.29129032288694,29.20622577365372,Sunny,60,0.7147074757128952,59.535,2.9,1.835,58807.185
East,Clay,Rice,270.2986623844181,21.83746338195818,Sunny,130,1.838208486897452,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
East,Clay,Cotton,130.75100826708214,37.81802996602417,Rainy,123,1.4905028841915595,324.21,5.47,2.86,49551.67333333334
North,Silt,Rice,159.0101374739895,29.835491620031867,Rainy,102,1.984697598325784,464.6,5.18,0.91,9392.38
West,Clay,Wheat,155.16746294712084,31.947585309329,Cloudy,71,1.8321692790099684,210.88500000000002,6.105,2.235,44398.345
North,Peaty,Maize,190.6229829686192,16.425537487683332,Cloudy,99,1.6946590611065986,389.37,0.57,4.93,60202.14
North,Peaty,Maize,287.6913583058914,22.133857883282857,Cloudy,131,2.20675539846395,389.37,0.57,4.93,60202.14
East,Sandy,Rice,234.9305543146852,21.90360241380852,Rainy,125,1.856782049338921,308.40500000000003,4.595,4.220000000000001,78580.925
East,Clay,Wheat,326.3792049089244,25.894912202229246,Sunny,123,1.8386127336435871,210.88500000000002,6.105,2.235,44398.345
North,Silt,Rice,133.29072884147874,39.495011691314176,Sunny,65,2.020763270707368,464.6,5.18,0.91,9392.38
East,Loam,Maize,140.21735124236906,27.991526152088277,Sunny,106,2.1413804409299897,128.23,4.91,0.77,18660.03
West,Clay,Wheat,134.13655680194066,27.29930243385237,Rainy,81,1.4046573670038116,210.88500000000002,6.105,2.235,44398.345
North,Clay,Barley,192.1335175061361,38.78834694520727,Rainy,93,2.15018263903666,299.265,4.095,0.75,41989.11
East,Sandy,Rice,332.84195152259326,18.17312670044476,Sunny,114,1.7695577258071735,308.40500000000003,4.595,4.220000000000001,78580.925
North,Sandy,Maize,231.9942504892201,24.56354913027272,Cloudy,81,1.391754380065845,460.93,1.09,1.31,54314.28
East,Clay,Barley,249.9164073263076,33.53870230033339,Cloudy,86,1.6053668515564925,299.265,4.095,0.75,41989.11
West,Sandy,Maize,205.25563248645312,20.257178998837777,Sunny,72,1.9025555883438343,460.93,1.09,1.31,54314.28
South,Clay,Wheat,176.981657271176,25.45129029555422,Rainy,109,2.371564388093319,210.88500000000002,6.105,2.235,44398.345
North,Silt,Soybean,122.69639336994165,23.248008742596227,Sunny,131,0.8601244814738185,266.03,8.57,1.35,43610.21
South,Clay,Cotton,241.2035868189787,19.1843431562119,Cloudy,119,2.0945428037139107,324.21,5.47,2.86,49551.67333333334
West,Clay,Rice,221.4441707451712,35.5814856679617,Rainy,68,1.5866227821553294,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
North,Sandy,Maize,191.1806702917721,16.81339783787031,Sunny,145,1.6696737071187395,460.93,1.09,1.31,54314.28
West,Sandy,Cotton,235.725985033275,25.922368476091783,Rainy,144,2.1599193912819903,122.805,2.1,2.18,53381.215
West,Silt,Wheat,290.3353407487372,23.90386323467049,Sunny,86,1.2444771568015949,288.52,1.79,4.78,23208.04
South,Loam,Barley,101.78777607926476,24.558108290756564,Sunny,98,0.594335444556028,446.76,7.79,0.96,93656.06
South,Clay,Barley,174.25612199513316,34.48249543102244,Sunny,72,2.371150926721161,299.265,4.095,0.75,41989.11
West,Sandy,Rice,322.0239621795204,15.947154619986234,Sunny,97,1.8995776907841493,308.40500000000003,4.595,4.220000000000001,78580.925
North,Sandy,Rice,151.5396562963448,24.56243363920783,Rainy,104,1.1647695661609236,308.40500000000003,4.595,4.220000000000001,78580.925
South,Clay,Wheat,520.2723660324923,16.6847811334552,Sunny,129,2.079718492879122,210.88500000000002,6.105,2.235,44398.345
East,Loam,Soybean,179.24120339500308,33.46534483146776,Sunny,86,1.5251632806710735,156.1,1.18,4.43,73646.55
East,Silt,Wheat,334.9224454757781,38.57069533311832,Sunny,89,2.133446668603221,288.52,1.79,4.78,23208.04
East,Sandy,Barley,172.64886925253478,16.714582700898752,Cloudy,76,1.8236052604309865,59.535,2.9,1.835,58807.185
South,Clay,Cotton,251.24046405859565,15.79026562325758,Rainy,101,1.3655004930084764,324.21,5.47,2.86,49551.67333333334
South,Clay,Cotton,171.39984800826272,18.1116440576513,Sunny,90,1.6237625201537955,324.21,5.47,2.86,49551.67333333334
East,Loam,Barley,348.2207254953941,30.172606683285995,Sunny,89,2.2229712941434165,446.76,7.79,0.96,93656.06
East,Silt,Rice,381.27048832316535,33.846523080579715,Rainy,91,2.27840995589151,464.6,5.18,0.91,9392.38
West,Clay,Rice,146.48344068510028,37.899650170501104,Cloudy,67,1.8921448958323857,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
West,Silt,Rice,186.10967250739185,37.08715235259035,Rainy,72,1.007349830102462,464.6,5.18,0.91,9392.38
South,Sandy,Cotton,465.30335891793135,16.054623355964225,Sunny,138,1.5684653249349276,122.805,2.1,2.18,53381.215
East,Sandy,Barley,110.29779139015552,19.09020203919093,Cloudy,111,0.7580602973721169,59.535,2.9,1.835,58807.185
East,Loam,Wheat,312.3774625086602,38.23738247334489,Rainy,121,1.883987670016184,162.28,5.85,2.42,65838.4
South,Clay,Barley,179.9784296845844,17.441017702889194,Rainy,98,0.843592747845532,299.265,4.095,0.75,41989.11
North,Sandy,Rice,424.04819547483385,38.83806037787767,Cloudy,133,2.2213564891534188,308.40500000000003,4.595,4.220000000000001,78580.925
West,Clay,Cotton,276.10635212655336,30.432841466944737,Cloudy,106,1.9601009399761764,324.21,5.47,2.86,49551.67333333334
West,Sandy,Maize,105.83214967471756,27.746855311889945,Cloudy,115,1.623129356072936,460.93,1.09,1.31,54314.28
West,Loam,Maize,223.24184501523808,15.811175064261125,Cloudy,75,1.4078093838606238,128.23,4.91,0.77,18660.03
East,Silt,Rice,194.2711340584824,37.22679378702776,Sunny,102,2.031591471915422,464.6,5.18,0.91,9392.38
South,Loam,Barley,218.836960947657,15.527848635770724,Rainy,94,2.1252894284303863,446.76,7.79,0.96,93656.06
South,Loam,Soybean,260.41234858479777,37.20618496107981,Sunny,116,2.1354008827861817,156.1,1.18,4.43,73646.55
West,Silt,Barley,118.98126449101214,27.44833841723685,Cloudy,114,1.2026179611958054,253.43,6.2,3.375,39956.880000000005
South,Silt,Wheat,166.7051978961573,23.86628326887504,Rainy,97,1.817090091117191,288.52,1.79,4.78,23208.04
West,Loam,Maize,277.56418257681577,24.61637918118306,Cloudy,148,1.9991757930751335,128.23,4.91,0.77,18660.03
South,Silt,Barley,319.82560943088833,27.92920435721685,Rainy,122,2.13670323434051,253.43,6.2,3.375,39956.880000000005
West,Loam,Wheat,383.53430130450295,20.6759242188293,Cloudy,148,1.869208634627065,162.28,5.85,2.42,65838.4
North,Loam,Wheat,166.39795705980873,16.425202481607162,Cloudy,92,1.0756061609995378,162.28,5.85,2.42,65838.4
East,Peaty,Maize,287.2517992113512,16.23097853743637,Sunny,88,1.063206237790999,389.37,0.57,4.93,60202.14
West,Sandy,Soybean,178.68232358711276,17.576831876353623,Cloudy,139,1.9073987353364408,209.51666666666665,2.8833333333333333,2.5233333333333334,57373.37333333333
North,Silt,Barley,215.3273091220392,21.53844848302818,Rainy,63,1.6609111171990336,253.43,6.2,3.375,39956.880000000005
North,Silt,Wheat,444.9872496136757,31.692613757901988,Sunny,125,2.3081148189379554,288.52,1.79,4.78,23208.04
North,Silt,Wheat,156.60797261685389,16.610257414250178,Sunny,129,-0.1930934304357434,288.52,1.79,4.78,23208.04
South,Sandy,Barley,152.4107121740145,37.0665681826065,Rainy,129,1.020102894342542,59.535,2.9,1.835,58807.185
North,Loam,Cotton,252.64318803818367,25.703343868819704,Cloudy,149,1.6245106023086373,387.78,6.245,2.84,57761.24
South,Sandy,Cotton,218.09695363487884,30.15916471709605,Sunny,87,2.2504741667354557,122.805,2.1,2.18,53381.215
East,Peaty,Maize,112.7207229782083,39.52211517516741,Sunny,96,1.95624375447974,389.37,0.57,4.93,60202.14
West,Clay,Barley,321.5609587913592,30.346237849994612,Rainy,106,2.064499757639588,299.265,4.095,0.75,41989.11
East,Loam,Wheat,276.6355452413111,24.302309680591897,Sunny,60,1.2692778899738475,162.28,5.85,2.42,65838.4
East,Sandy,Rice,143.30118956882853,26.10993951075532,Sunny,131,2.0675597663360383,308.40500000000003,4.595,4.220000000000001,78580.925
South,Silt,Wheat,263.5602332585712,35.87517753268161,Rainy,93,2.001322787238068,288.52,1.79,4.78,23208.04
East,Clay,Barley,103.11534360769782,29.5361570074414,Cloudy,89,1.9650633475771888,299.265,4.095,0.75,41989.11
West,Silt,Rice,286.5084887805989,20.519741229146447,Rainy,128,1.99563383677788,464.6,5.18,0.91,9392.38
East,Clay,Barley,100.37770835759524,26.80738843633569,Rainy,139,1.7520464789537615,299.265,4.095,0.75,41989.11
West,Clay,Wheat,214.74558229183828,27.574621234915117,Sunny,76,1.3690763435935742,210.88500000000002,6.105,2.235,44398.345
West,Silt,Barley,193.521095264285,30.21534055560335,Sunny,104,2.333744848386382,253.43,6.2,3.375,39956.880000000005
North,Sandy,Cotton,416.0556069760489,21.36665169582682,Cloudy,85,2.1320554035838626,122.805,2.1,2.18,53381.215
North,Sandy,Barley,133.0359637543931,19.14198968496488,Rainy,99,2.4058614926887336,59.535,2.9,1.835,58807.185
North,Clay,Rice,166.48342395324352,24.845304591561465,Rainy,101,1.156295051583465,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
West,Loam,Cotton,141.00038044657506,16.85638328647875,Cloudy,114,2.162343418779537,387.78,6.245,2.84,57761.24
South,Sandy,Rice,227.1124103484636,19.03485284894284,Sunny,131,1.084899870453823,308.40500000000003,4.595,4.220000000000001,78580.925
South,Peaty,Maize,113.2729875402538,27.06102000172651,Rainy,127,1.0823277552742192,389.37,0.57,4.93,60202.14
South,Silt,Wheat,246.05263989444785,34.22835737707756,Rainy,133,1.972684380998289,288.52,1.79,4.78,23208.04
South,Silt,Rice,144.5410400260656,32.591391885688225,Rainy,96,2.0109239595558157,464.6,5.18,0.91,9392.38
East,Clay,Wheat,394.55198832671766,24.88434443657704,Cloudy,138,2.360367004548556,210.88500000000002,6.105,2.235,44398.345
North,Loam,Maize,112.65814828938726,36.64850386578182,Sunny,114,2.381295913771788,128.23,4.91,0.77,18660.03
